ids,mols,y
2777,NC(CC1=CC=CC=C1)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)O,1.0
2814,NCCCCC(NC(=O)C(N)CC1=CC=CC=C1)C(=O)NCC(=O)NC(CC(N)=O)C(=O)O,1.0
2856,CCC(C)C(NC(=O)C(N)CO)C(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2852,NC(CO)C(=O)NC(CC(=O)O)C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2851,NCCCCC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)NC(=O)C(N)CO)C(=O)O,1.0
2816,CC(C)CC(NC(=O)C(CCCCN)NC(=O)C(N)CC1=CC=CC=C1)C(=O)NC(CC(N)=O)C(=O)O,1.0
2854,NC(=O)CC(NC(=O)CNC(=O)C(N)CO)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2860,CC(C)C(N)C(=O)NC(CC(N)=O)C(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2858,CC(NC(=O)C(N)C(C)C)C(=O)NC(CC(N)=O)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2867,CC(C)C(N)C(=O)NC(CC(=O)O)C(=O)NC(CCC(N)=O)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2864,CC(C)C(N)C(=O)NC(CC(=O)O)C(=O)NC(CC(N)=O)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2866,CC(C)C(N)C(=O)NC(CC(=O)O)C(=O)NC(CS)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2847,CC(C)C(NC(=O)C(CC(N)=O)NC(=O)C(N)CO)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2874,CC(C)C(N)C(=O)NC(CS)C(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2875,CC(C)C(N)C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2873,CC(C)C(N)C(=O)NC(CC(=O)O)C(=O)NC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)C(C)C,1.0
2872,CC(C)C(N)C(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)NCC(=O)O,1.0
